RJML,SSBL,Name,Season,Bats,MLB,Age,WAR,G,PA,key_MLB,year,AB,H,D,T,HR,K,BB,Kpct,BBpct,AVG,SLG,OBP,OPS,BABIP,RBI,CS,SB,Balls,CStrikes,GDP,HBP,IBB,SH,SF,R,Strikes,XAVG,XSLG,WOBA,XWOBA,XOBP,barrelpct,solidpct,flareburnpct,Pitches,whiffpct,battedballs,RC,RC27,O,ICR,whiff,barrel,solid,flareburn,KminusBB,strICR,key_FG,Def,Off,BsR,wRC+,Last_First,Pos,Name2,CJPL
HIG,avail,Austin Hedges,2024,R,CLE,31,0.3939,65,144,595978,2024,131,20,3,0,2,49,6,34,4.2,0.153,0.221,0.204,0.425,0.22,14,0,2,162,71,2,3,0,2,2,12,365,0.125,0.18,0.193,0.165,0.178,1.2,5.8,17.4,538,32.7,86,6.461,1.5,64,24.4,176,1,5,15,29.8,0.6,12976,12.844,-13.807,-0.6472,20.5017,"Hedges, Austin",2,Austin Hedges,avail
RM,TBD,Gary Sanchez,2024,R,MIL,31,0.385,82,260,596142,2024,227,50,7,1,10,69,25,26.5,9.6,0.22,0.392,0.308,0.7,0.265,36,0,0,363,240,9,5,0,0,3,28,674,0.229,0.421,0.307,0.32,0.316,10.6,7.5,23,1068,29.8,161,26.86,3.8,164,41.1,318,17,12,37,16.9,0.507,11442,-2.9283,-2.048,-0.8957,96.2964,"Sánchez, Gary",23,Gary Sanchez,WAW
avail,avail,Jonah Bride,2024,R,MIA,28,0.3817,63,240,681146,2024,204,52,8,0,7,49,27,20.4,11.3,0.255,0.397,0.342,0.739,0.292,30,1,0,350,249,8,3,1,0,6,23,629,0.225,0.323,0.322,0.293,0.322,5,3.7,24.8,1023,16.8,161,27.88,4.5,148,33.5,172,8,6,40,9.099999999999998,0.509,24703,-4.1553,-0.1834,-1.3011,103.8918,"Bride, Jonah",354,Jonah Bride,avail
NA,NA,Connor Norby,2024,R,- - -,24,0.3786,37,157,681393,2024,145,37,9,0,8,49,11,31.2,7,0.255,0.483,0.306,0.789,0.326,18,2,3,185,66,2,0,0,0,1,28,406,0.233,0.455,0.337,0.319,0.288,14.4,6.2,24.7,612,32.7,97,21.002,5,118,45.3,200,14,6,24,24.2,0.52,29592,-3.9313,2.3527,-0.5099,114.9302,"Norby, Connor",54,Connor Norby,NA
SV,PP,Thairo Estrada,2024,R,SFG,28,0.3773,96,381,642731,2024,364,79,15,2,9,76,10,19.9,2.6,0.217,0.343,0.247,0.59,0.249,47,2,2,368,235,8,5,0,0,2,43,907,0.228,0.345,0.256,0.264,0.259,4.8,5.9,21.4,1309,20.5,290,28.877,2.6,213,32.1,268,14,17,62,17.299999999999997,0.551,16426,7.1117,-16.2175,0.1253,64.1531,"Estrada, Thairo",4,Thairo Estrada,TBT
STE,TT,Christian Bethancourt,2024,R,- - -,32,0.3725,60,139,542194,2024,131,28,7,0,5,34,5,24.5,3.6,0.214,0.382,0.248,0.63,0.25,22,0,3,134,51,2,1,0,2,0,18,345,0.226,0.373,0.272,0.275,0.261,7.1,5.1,20.2,487,31,99,12.468,3.1,94,32.4,151,7,5,20,20.9,0.577,10028,3.2686,-4.3122,0.4794,71.1914,"Bethancourt, Christian",2,Christian Bethancourt,JFS
avail,avail,Nathan Lukes,2024,L,TOR,29,0.3702,14,64,664770,2024,55,18,3,2,0,6,7,9.4,10.9,0.327,0.455,0.391,0.846,0.353,7,0,1,75,21,0,0,0,0,2,8,154,0.298,0.382,0.363,0.33,0.367,2,2,31.4,261,14.6,51,11.086,7.7,48,35.4,38,1,1,16,-1.5,0.452,18123,-1.6959,3.1606,0.2171,140.0089,"Lukes, Nathan",798,Nathan Lukes*,avail
avail,avail,Austin Wynns,2024,R,CIN,33,0.3637,7,20,642851,2024,19,7,4,0,0,5,0,25,0,0.368,0.579,0.4,0.979,0.5,2,0,0,20,15,0,1,0,0,0,3,54,0.29,0.377,0.419,0.313,0.326,0,14.3,42.9,75,25.6,14,4.504,10.1,17,57.2,19,0,2,6,25,0.506,15271,1.2465,1.6114,0.0434,165.5174,"Wynns, Austin",2,Austin Wynns,avail
BRA,WC,Heston Kjerstad,2024,L,BAL,25,0.3603,33,99,677008,2024,85,23,2,0,3,27,9,27.3,9.1,0.271,0.4,0.374,0.774,0.364,12,0,1,105,44,0,4,2,0,0,6,240,0.225,0.355,0.34,0.303,0.334,5.2,8.6,24.1,378,30.6,58,13.731,6,63,37.9,116,3,5,14,18.200000000000003,0.519,31166,-2.4892,2.6954,-0.1159,124.7034,"Kjerstad, Heston",79,Heston Kjerstad*,GDJ
HAL,PP,Trent Grisham,2024,L,NYY,27,0.3593,73,201,663757,2024,171,32,8,0,8,52,22,25.9,10.9,0.187,0.374,0.291,0.665,0.212,28,1,1,311,191,5,4,1,1,2,20,491,0.212,0.411,0.292,0.316,0.314,11.5,7.4,15.6,820,22.8,122,18.871,3.4,126,34.5,187,14,9,19,14.999999999999998,0.496,18564,0.3986,-3.5907,-1.0826,89.1453,"Grisham, Trent",8,Trent Grisham*,RAH
GH,avail,Michael Toglia,2024,B,COL,25,0.3587,108,427,669911,2024,374,81,13,3,25,136,48,31.9,11.2,0.217,0.468,0.305,0.773,0.259,52,1,8,623,288,5,1,2,0,3,61,1091,0.249,0.526,0.33,0.364,0.335,17.4,8.7,21.6,1782,34.6,241,56.161,5,314,47.7,617,42,21,52,20.7,0.483,25845,-11.0997,0.2718,0.9552,98.6625,"Toglia, Michael",39,Michael Toglia#,BAB
STE,avail,Garrett Stubbs,2024,L,PHI,31,0.3585,52,180,596117,2024,158,32,4,1,1,50,16,27.8,8.9,0.203,0.259,0.291,0.55,0.287,10,0,5,220,130,0,4,0,0,1,17,492,0.199,0.246,0.254,0.249,0.288,0,4.6,25.7,727,24.9,109,14.328,3,92,30.3,181,0,5,28,18.9,0.586,18067,4.3972,-6.9507,1.6063,60.2718,"Stubbs, Garrett",2,Garrett Stubbs*,avail
GRF,NB,Jonathan Aranda,2024,L,TBR,26,0.3543,36,117,666018,2024,105,26,6,0,5,25,10,21.4,8.5,0.248,0.448,0.316,0.764,0.276,9,0,0,146,87,2,1,0,0,1,17,301,0.273,0.557,0.33,0.379,0.34,18.5,8.6,19.8,473,22.3,81,15.071,5,77,46.9,105,15,7,16,12.899999999999999,0.476,21837,-1.9794,1.5294,-1.1166,119.6734,"Aranda, Jonathan",34,Jonathan Aranda*,HAM
HAL,PP,Miguel Amaya,2024,R,CHC,25,0.354,111,344,665804,2024,311,70,12,2,7,61,22,17.7,6.4,0.225,0.344,0.283,0.627,0.257,43,0,0,367,168,5,4,0,5,2,29,812,0.249,0.371,0.277,0.298,0.306,4.7,6.6,25.3,1218,23,257,31.056,3.3,198,36.6,280,12,17,65,11.299999999999999,0.512,21693,3.4727,-11.5652,-2.5289,78.0474,"Amaya, Miguel",2,Miguel Amaya,ILK
ROC,WAU,Edouard Julien,2024,L,MIN,25,0.3439,90,289,666397,2024,255,53,9,0,8,98,32,33.9,11.1,0.208,0.337,0.301,0.638,0.302,21,0,6,437,240,2,2,0,0,0,35,720,0.205,0.375,0.287,0.298,0.298,10.2,8.3,23.6,1186,30.4,157,28.812,3.8,172,42.1,361,16,13,37,22.799999999999997,0.496,27534,-1.2854,-4.9802,-0.3003,85.9135,"Julien, Edouard",4,Edouard Julien*,STL
avail,avail,Bligh Madris,2024,L,DET,28,0.3264,21,75,676632,2024,67,18,3,0,1,20,6,26.7,8,0.269,0.358,0.324,0.682,0.362,5,0,0,99,38,0,0,0,0,1,8,173,0.228,0.372,0.301,0.289,0.288,10.4,8.3,20.8,275,28.9,48,8.458,4.6,42,39.5,79,5,4,10,18.7,0.491,20054,1.0545,-0.3799,-0.0644,96.3408,"Madris, Bligh",3,Bligh Madris*,avail
