RJML,SSBL,Name,Season,Bats,MLB,Age,WAR,G,PA,key_MLB,year,AB,H,D,T,HR,K,BB,Kpct,BBpct,AVG,SLG,OBP,OPS,BABIP,RBI,CS,SB,Balls,CStrikes,GDP,HBP,IBB,SH,SF,R,Strikes,XAVG,XSLG,WOBA,XWOBA,XOBP,barrelpct,solidpct,flareburnpct,Pitches,whiffpct,battedballs,RC,RC27,O,ICR,whiff,barrel,solid,flareburn,KminusBB,strICR,key_FG,Def,Off,BsR,wRC+,Last_First,Pos,Name2,CJPL
SV,SIP,Ezequiel Duran,2024,R,TEX,25,0.2764,87,269,677649,2024,253,64,11,0,3,59,13,21.9,4.8,0.253,0.332,0.294,0.626,0.318,19,2,1,274,123,5,2,0,0,1,24,654,0.221,0.325,0.277,0.259,0.263,3.6,6.7,20,966,24.5,195,23.806,3.3,133,30.3,237,7,13,39,17.099999999999998,0.555,23733,1.2911,-7.5473,-0.7858,78.1345,"Duran, Ezequiel",573649,Ezequiel Duran,JFS
STE,CW,Gio Urshela,2024,R,- - -,32,0.2737,120,435,570482,2024,407,100,17,1,7,66,22,15.2,5.1,0.246,0.344,0.283,0.627,0.274,47,0,0,465,232,13,1,1,0,5,31,1101,0.261,0.381,0.273,0.296,0.301,4.3,4.9,26.6,1605,20.4,346,37.506,3.1,221,35.8,327,15,17,92,10.1,0.532,10681,3.2131,-15.0416,-2.6535,75.4676,"Urshela, Gio",53,Gio Urshela,WAW
CAM,TBD,Yoan Moncada,2024,B,CHW,29,0.2722,12,45,660162,2024,40,11,3,1,0,11,5,24.4,11.1,0.275,0.4,0.356,0.756,0.379,0,0,1,71,31,2,0,0,0,0,4,119,0.263,0.343,0.333,0.308,0.345,0,10.3,37.9,192,23.9,29,5.544,4.8,24,48.2,46,0,3,11,13.299999999999999,0.474,17232,0.3969,0.749,-0.1194,116.7872,"Moncada, Yoán",5,Yoan Moncada#,MBL
avail,avail,Chadwick Tromp,2024,R,ATL,29,0.2664,19,54,644433,2024,52,13,6,0,0,17,1,31.5,1.9,0.25,0.365,0.259,0.624,0.361,6,0,0,55,29,2,0,0,0,1,3,127,0.247,0.333,0.266,0.255,0.257,2.8,8.3,33.3,182,36.7,36,4.396,2.8,27,44.4,67,1,3,12,29.6,0.522,16953,2.8786,-2.1035,-0.0021,67.4799,"Tromp, Chadwick",2,Chadwick Tromp,avail
GH,avail,Emmanuel Rivera,2024,R,- - -,28,0.2639,117,290,656896,2024,255,58,8,2,3,67,25,23.1,8.6,0.227,0.31,0.304,0.614,0.291,22,0,2,364,168,7,5,0,1,3,21,696,0.244,0.367,0.276,0.306,0.322,6.2,6.2,28,1101,28.5,193,25.202,3.3,145,40.4,314,12,12,54,14.500000000000002,0.491,19890,1.7916,-8.9315,-0.0866,74.7593,"Rivera, Emmanuel",53,Emmanuel Rivera,JFS
NA,NA,Austin Shenton,2024,L,TBR,26,0.2611,19,50,668853,2024,42,9,5,0,1,14,8,28,16,0.214,0.405,0.34,0.745,0.296,3,0,0,81,43,1,0,0,0,0,3,127,0.204,0.294,0.329,0.289,0.331,3.6,7.1,28.6,212,35.7,28,6.106,4.8,29,39.3,76,1,2,8,12,0.495,25425,-0.0398,0.9117,-0.2042,119.4144,"Shenton, Austin",3,Austin Shenton*,NA
RAM,avail,Zach Remillard,2024,R,CHW,30,0.2544,15,39,621545,2024,33,8,1,1,0,10,5,25.6,12.8,0.242,0.333,0.342,0.675,0.348,1,0,1,56,36,1,0,0,1,0,3,93,0.229,0.322,0.305,0.298,0.333,4.2,0,25,151,19.3,24,4.105,4.1,21,29.2,29,1,0,6,12.8,0.523,19788,1.137,0.0353,0.1604,97.2106,"Remillard, Zach",4567,Zach Remillard,avail
ROC,VM,Jon Berti,2024,R,NYY,34,0.2543,21,66,542932,2024,60,17,0,0,1,14,4,21.2,6.1,0.283,0.333,0.338,0.671,0.356,6,1,4,77,45,1,0,0,1,0,9,140,0.286,0.352,0.302,0.311,0.341,2.1,2.1,40.4,243,17.6,47,6.91,4.1,41,44.6,43,1,1,19,15.1,0.404,12037,-0.4128,0.6868,0.9921,95.9754,"Berti, Jon",5,Jon Berti,FMB
avail,avail,Jose Tena,2024,L,- - -,23,0.2529,37,144,677588,2024,138,41,5,0,3,32,6,22.2,4.2,0.297,0.399,0.326,0.725,0.369,15,1,6,172,98,0,0,0,0,0,13,377,0.267,0.452,0.317,0.321,0.298,9.4,3.8,34,576,21.1,106,19.064,5.3,91,47.2,122,10,4,36,18,0.481,23691,-3.4229,1.0521,0.4691,103.5574,"Tena, José",54,Jose Tena*,avail
avail,avail,Romy Gonzalez,2024,R,BOS,27,0.2499,83,194,663853,2024,178,48,10,1,5,52,12,26.8,6.2,0.27,0.421,0.314,0.735,0.347,24,3,10,216,94,5,1,0,0,3,22,501,0.259,0.422,0.317,0.317,0.307,7.8,9.3,22.5,742,29,129,23.26,4.5,131,39.6,215,10,12,29,20.6,0.538,21562,-3.4409,-0.5801,-0.7349,100.6945,"Gonzalez, Romy",436589,Romy Gonzalez,avail
NA,NA,Pedro Pages,2024,R,STL,25,0.232,63,198,686780,2024,185,43,2,2,6,51,10,25.8,5.1,0.232,0.362,0.269,0.631,0.285,23,0,2,221,134,7,0,0,1,2,17,529,0.216,0.335,0.274,0.266,0.259,4.4,8,22.6,759,25.3,137,16.774,3,107,35,192,6,11,31,20.700000000000003,0.571,25782,1.829,-6.2125,-0.3581,75.2901,"Pagés, Pedro",2,Pedro Pages,NA
NA,NA,Steward Berroa,2024,B,TOR,25,0.2248,25,41,672642,2024,33,5,1,0,0,13,8,31.7,19.5,0.152,0.182,0.317,0.499,0.25,1,2,6,67,35,0,0,0,0,0,7,98,0.126,0.172,0.251,0.238,0.297,0,0,25,167,25.4,20,3.005,2.7,26,25,42,0,0,5,12.2,0.527,22766,2.1101,-1.2914,0.5181,61.6079,"Berroa, Steward",97,Steward Berroa#,NA
avail,avail,Buddy Kennedy,2024,R,- - -,25,0.2231,13,25,671083,2024,20,4,1,0,1,6,4,24,16,0.2,0.4,0.32,0.72,0.214,6,0,1,46,27,0,0,0,0,1,3,78,0.315,0.479,0.313,0.411,0.428,13.3,6.7,33.3,126,17.6,15,3.226,5.1,21,53.3,22,2,1,5,8,0.492,22505,1.2657,0.0649,-8e-4,102.5537,"Kennedy, Buddy",45,Buddy Kennedy,avail
DAY,avail,Stuart Fairchild,2024,R,CIN,28,0.2227,94,233,656413,2024,209,45,8,0,8,60,17,25.8,7.3,0.215,0.368,0.286,0.654,0.261,30,1,13,295,109,1,4,0,2,1,33,537,0.223,0.393,0.288,0.3,0.294,7.9,5.9,20.4,853,34.8,152,24.935,4,166,34.2,297,12,9,31,18.5,0.508,20321,-0.4708,-5.1757,1.1296,77.3845,"Fairchild, Stuart",897,Stuart Fairchild,LWC
TB,SR,Blake Sabol,2024,L,SFG,26,0.2217,11,38,666165,2024,32,10,2,0,0,9,5,23.7,13.2,0.313,0.375,0.421,0.796,0.435,1,0,0,42,15,0,1,1,0,0,3,80,0.244,0.403,0.352,0.331,0.363,8.7,4.3,30.4,124,32.3,23,5.6,6.9,22,43.4,40,2,1,7,10.5,0.484,25805,-0.43,1.3076,-0.0078,128.9289,"Sabol, Blake",2,Blake Sabol*,WWL
NA,NA,Billy Cook,2024,R,PIT,25,0.2209,9,31,695257,2024,31,7,1,0,2,12,0,38.7,0,0.226,0.452,0.226,0.678,0.294,5,0,0,25,13,0,0,0,0,0,2,75,0.235,0.411,0.286,0.275,0.235,10.5,15.8,26.3,116,46.5,19,3.161,3.6,19,52.6,54,2,3,5,38.7,0.474,29573,1.8359,-0.7316,0.0219,79.6875,"Cook, Billy",9837,Billy Cook,NA
SV,avail,Alexander Canario,2024,R,CHC,24,0.2203,15,28,672744,2024,25,7,1,0,1,11,2,39.3,7.1,0.28,0.44,0.357,0.797,0.462,2,0,1,34,18,0,1,0,0,0,4,65,0.208,0.388,0.35,0.299,0.292,14.3,7.1,14.3,101,44.7,14,4.393,6.6,20,35.7,45,2,1,2,32.199999999999996,0.545,22842,0.2484,0.9507,0.025,127.6297,"Canario, Alexander",79,Alexander Canario,SEA
NA,NA,Griffin Conine,2024,L,MIA,26,0.2191,23,68,665052,2024,61,14,2,1,2,22,6,32.4,8.8,0.23,0.393,0.309,0.702,0.324,6,0,0,79,38,1,1,0,0,0,10,175,0.195,0.354,0.308,0.281,0.28,7.7,10.3,12.8,266,31.2,39,7.594,4.3,44,30.8,83,3,4,5,23.599999999999998,0.568,21626,0.522,-0.6752,-0.2303,94.5315,"Conine, Griffin",97,Griffin Conine*,NA
avail,avail,Eli White,2024,R,ATL,30,0.211,28,37,642201,2024,35,10,1,1,1,11,1,29.7,2.7,0.286,0.457,0.324,0.781,0.391,4,1,2,38,24,1,1,0,0,0,8,92,0.182,0.337,0.337,0.245,0.227,12.5,4.2,12.5,138,22.5,24,4.746,4.7,29,29.2,31,3,1,3,27,0.565,19346,0.071,0.7359,0.0673,115.103,"White, Eli",798,Eli White,avail
WHI,WC,Santiago Espinal,2024,R,CIN,29,0.2082,112,376,669289,2024,342,87,12,0,9,51,24,13.6,6.4,0.254,0.368,0.304,0.672,0.273,45,1,11,458,230,7,2,1,4,4,32,933,0.26,0.349,0.294,0.291,0.311,2,4.3,29.1,1459,14.7,299,39.76,4,227,35.4,214,6,13,87,7.199999999999999,0.494,19997,-2.9444,-7.6341,0.8827,81.0705,"Espinal, Santiago",54679,Santiago Espinal,SEA
GRF,WAU,TJ Friedl,2024,L,CIN,28,0.2072,78,318,670770,2024,278,63,5,1,13,51,23,16,7.2,0.227,0.392,0.307,0.699,0.229,55,1,9,397,230,1,11,0,2,4,34,742,0.234,0.332,0.307,0.297,0.32,3.4,6,22.3,1198,18.2,233,37.534,4.5,228,31.7,218,8,14,52,8.8,0.496,19522,-6.8318,-1.8129,1.9503,90.1103,"Friedl Jr., TJ",8,TJ Friedl*,WWL
HAR,TBD,Austin Hays,2024,R,- - -,28,0.2071,82,244,669720,2024,224,57,18,0,4,56,9,23,3.7,0.254,0.388,0.305,0.693,0.319,19,1,2,237,113,2,8,1,1,2,25,549,0.241,0.37,0.301,0.292,0.294,6.4,8.2,22.2,804,29.4,171,27.283,4.3,144,36.8,236,11,14,38,19.3,0.526,19363,-5.3057,-0.8118,0.2899,96.3147,"Hays, Austin",7,Austin Hays,MBL
CC,KR,Kevin Kiermaier,2024,L,- - -,34,0.2055,112,277,595281,2024,255,48,8,3,5,86,12,31,4.3,0.188,0.302,0.23,0.532,0.261,24,2,6,318,118,4,2,0,7,1,30,672,0.192,0.28,0.233,0.23,0.236,4,5.1,22,1010,37.4,177,17.774,2.2,147,31.1,378,7,9,39,26.7,0.556,11038,8.7862,-16.013,0.4323,48.9424,"Kiermaier, Kevin",8,Kevin Kiermaier*,NYZ
RAC,avail,Enrique Hernandez,2024,R,LAD,32,0.205,119,369,571771,2024,339,73,16,0,10,77,26,20.9,7,0.215,0.351,0.269,0.62,0.247,36,0,0,461,259,12,0,0,1,3,38,951,0.219,0.349,0.271,0.274,0.275,4.9,8.3,21.4,1433,23,266,30.141,2.9,198,34.6,330,13,22,57,13.899999999999999,0.535,10472,0.896,-11.2715,0.225,73.9631,"Hernández, Enrique",573684,Enrique Hernandez,MMA
NA,NA,Kyle McCann,2024,L,OAK,26,0.2018,50,149,668832,2024,133,32,4,0,5,55,15,36.9,10.1,0.241,0.383,0.322,0.705,0.37,15,0,0,219,89,2,1,1,0,0,13,365,0.199,0.383,0.31,0.29,0.285,12.8,9,21.8,602,44.4,78,16.949,4.4,88,43.6,267,10,7,17,26.799999999999997,0.493,25575,-1.2066,-1.7864,-2.729,105.5036,"McCann, Kyle",2,Kyle McCann*,NA
HAL,OCS,Will Brennan,2024,L,CLE,26,0.2004,108,340,686823,2024,318,81,11,2,8,47,18,13.8,5.3,0.255,0.377,0.3,0.677,0.277,30,1,3,360,154,8,3,2,0,1,35,801,0.264,0.372,0.294,0.297,0.309,4.8,4.4,26.8,1181,17.9,272,34.744,3.8,192,36,211,13,12,73,8.5,0.512,25660,-5.9581,-3.3943,-0.1127,91.6038,"Brennan, Will",978,Will Brennan*,GAP
avail,avail,Derek Hill,2024,R,- - -,28,0.1925,48,157,656537,2024,149,36,4,2,7,50,4,31.8,2.5,0.242,0.436,0.265,0.701,0.312,24,2,6,151,87,2,1,0,2,1,18,376,0.256,0.429,0.299,0.307,0.283,10.8,4.9,30.4,556,33.9,102,16.728,3.8,109,46.1,188,11,5,31,29.3,0.507,16947,-1.7632,-1.6169,0.2999,89.9237,"Hill, Derek",879,Derek Hill,avail
avail,avail,Kody Clemens,2024,L,PHI,28,0.1862,37,107,665019,2024,103,23,9,1,4,24,4,22.4,3.7,0.223,0.447,0.252,0.699,0.253,17,0,0,127,73,2,0,0,0,0,15,278,0.197,0.355,0.297,0.25,0.227,6.3,8.9,17.7,413,23.9,79,10.991,3.6,76,32.9,99,5,7,14,18.7,0.547,20572,-0.5091,-1.2702,0.1373,89.007,"Clemens, Kody",3547,Kody Clemens*,avail
avail,avail,Mason McCoy,2024,R,SDP,29,0.1783,19,57,669200,2024,49,10,2,0,0,19,5,33.3,8.8,0.204,0.245,0.278,0.523,0.333,3,0,1,74,51,2,0,0,3,0,7,156,0.203,0.24,0.241,0.239,0.278,0,0,27.3,232,29.5,33,3.508,2.2,29,27.3,68,0,0,9,24.499999999999996,0.595,22232,2.0341,-2.2147,0.8206,55.4988,"McCoy, Mason",6,Mason McCoy,avail
STE,WC,Reese McGuire,2024,L,BOS,29,0.1742,53,158,624512,2024,139,29,3,0,3,39,13,24.7,8.2,0.209,0.295,0.28,0.575,0.26,18,0,3,206,115,4,2,0,1,3,10,389,0.226,0.349,0.258,0.285,0.297,6.7,6.7,23.1,609,24.5,104,12.289,2.8,81,36.5,149,7,7,24,16.5,0.514,15674,4.0577,-7.6173,-0.2453,59.4119,"McGuire, Reese",2,Reese McGuire*,RAH
NA,NA,Jung Hoo Lee,2024,L,SFG,25,0.1655,37,158,808982,2024,145,38,4,0,2,13,10,8.2,6.3,0.262,0.331,0.31,0.641,0.273,8,3,2,178,127,2,1,0,0,2,15,377,0.284,0.416,0.284,0.324,0.331,4.5,5.2,28.4,569,9.6,134,14.743,3.5,77,38.1,55,6,7,38,1.8999999999999995,0.483,33824,-0.3315,-3.3572,-0.1664,83.1232,"Lee, Jung Hoo",8,Jung Hoo Lee*,NA
ROC,avail,Drew Millas,2024,B,WSN,26,0.161,18,54,686452,2024,50,12,1,0,1,13,4,24.1,7.4,0.24,0.32,0.296,0.616,0.306,1,0,4,74,35,1,0,0,0,0,7,134,0.221,0.307,0.275,0.262,0.278,2.7,5.4,24.3,212,19.2,37,5.311,3.7,30,32.4,41,1,2,9,16.700000000000003,0.519,25643,0.2384,-0.4857,1.109,75.3202,"Millas, Drew",2,Drew Millas#,avail
avail,avail,Brett Wisely,2024,L,SFG,25,0.1511,84,254,689172,2024,235,53,13,1,3,63,12,24.8,4.7,0.226,0.328,0.266,0.594,0.291,26,3,2,288,160,2,2,0,2,3,23,622,0.208,0.313,0.26,0.251,0.253,5.6,3.4,22,929,22.7,177,20.572,2.9,136,31,211,10,6,39,20.1,0.551,27735,4.4049,-11.4495,-1.2913,66.5779,"Wisely, Brett",465,Brett Wisely*,avail
avail,avail,Diego Castillo,2024,R,MIN,26,0.149,4,8,660636,2024,6,2,1,0,0,1,2,12.5,25,0.333,0.5,0.5,1,0.4,2,0,0,14,13,0,0,0,0,0,3,22,0.342,0.374,0.439,0.409,0.507,0,0,40,36,11.1,5,1.76,11.9,10,40,4,0,0,2,-12.5,0.5,19906,0.1588,1.0205,0.1671,192.8033,"Castillo, Diego A.",5,Diego Castillo,avail
GNB,VM,Cavan Biggio,2024,L,- - -,29,0.148,78,224,624415,2024,188,37,5,0,5,72,24,32.1,10.7,0.197,0.303,0.314,0.617,0.288,19,0,2,340,228,1,8,0,2,0,27,593,0.183,0.245,0.285,0.259,0.301,2.5,5.9,22.9,955,23.8,118,20.645,3.6,133,31.3,227,3,7,27,21.400000000000002,0.544,19252,-2.2948,-3.7382,0.4206,84.1654,"Biggio, Cavan",4539,Cavan Biggio*,WWL
avail,avail,Tomas Nido,2024,R,- - -,30,0.1476,49,140,621512,2024,130,25,4,0,4,35,5,25,3.6,0.192,0.315,0.219,0.534,0.226,12,0,0,129,55,1,0,0,3,2,14,361,0.217,0.41,0.231,0.281,0.247,12,12,16,506,35.9,100,9.301,2.3,70,40,182,12,12,16,21.4,0.555,13755,6.0526,-9.312,-0.6255,48.1481,"Nido, Tomás",2,Tomas Nido,avail
ROC,avail,Matthew Batten,2024,R,SDP,29,0.1406,1,3,676946,2024,3,1,0,1,0,0,0,0,0,0.333,1,0.333,1.333,0.333,0,0,0,4,3,0,0,0,0,0,0,7,0.271,0.388,0.529,0.284,0.271,0,0,33.3,11,25,3,1,13.5,3,33.3,3,0,0,1,0,0.455,20157,0.5344,0.7291,0.1907,249.9888,"Batten, Matthew",,Matthew Batten,avail
STE,avail,Ildemaro Vargas,2024,B,WSN,32,0.1384,91,292,545121,2024,263,67,16,0,1,31,17,10.6,5.8,0.255,0.327,0.3,0.627,0.28,29,4,8,324,197,8,2,0,5,4,21,664,0.249,0.319,0.276,0.274,0.296,1.2,4.1,23.1,1022,12.9,242,25.374,3.2,155,28.4,132,3,10,56,4.8,0.515,13324,0.8726,-9.3143,-0.9313,76.0082,"Vargas, Ildemaro",5476,Ildemaro Vargas#,STL
GH,SB,Brandon Crawford,2024,L,STL,37,0.1369,28,80,543063,2024,71,12,5,0,1,26,8,32.5,10,0.169,0.282,0.263,0.545,0.25,4,0,0,103,48,0,1,0,0,0,5,213,0.207,0.308,0.248,0.274,0.296,6.7,2.2,28.9,321,35.8,45,5.864,2.7,37,37.8,115,3,1,13,22.5,0.558,5343,2.5893,-3.942,0.0919,57.8611,"Crawford, Brandon",65,Brandon Crawford*,avail
NA,NA,Kyle Manzardo,2024,L,CLE,23,0.1366,47,139,700932,2024,129,32,12,0,4,36,8,25.9,5.8,0.248,0.434,0.295,0.729,0.311,14,0,0,188,99,2,1,0,0,1,9,364,0.207,0.406,0.313,0.286,0.258,10.6,9.6,16,571,28.1,94,16.515,4.5,82,36.2,160,10,9,15,20.099999999999998,0.518,29794,-4.1879,0.8952,0.0736,105.1415,"Manzardo, Kyle",3,Kyle Manzardo*,NA
NA,NA,Oliver Dunn,2024,L,MIL,26,0.1364,41,104,686554,2024,95,21,2,2,1,40,6,38.5,5.8,0.221,0.316,0.282,0.598,0.37,7,0,3,136,86,1,2,0,1,0,11,271,0.206,0.321,0.266,0.262,0.268,5.4,10.7,28.6,418,36.2,56,9.197,3.3,58,44.7,151,3,6,16,32.7,0.529,26295,0.9101,-3.0714,0.8338,68.6197,"Dunn, Oliver",5,Oliver Dunn*,NA
HIG,avail,Yuli Gurriel,2024,R,KCR,40,0.1361,11,41,493329,2024,33,11,2,0,0,8,6,19.5,14.6,0.333,0.394,0.415,0.809,0.407,5,0,0,62,29,0,0,0,0,2,6,98,0.278,0.328,0.355,0.332,0.389,0,0,44.4,176,19.2,27,6.468,7.3,30,44.4,34,0,0,12,4.9,0.421,19198,-1.2376,1.196,-0.1814,129.2264,"Gurriel, Yuli",3,Yuli Gurriel,avail
CK,avail,Luis Urias,2024,R,SEA,27,0.1358,38,104,649966,2024,90,16,6,0,4,34,8,32.7,7.7,0.178,0.378,0.288,0.666,0.231,16,0,0,132,78,2,6,0,0,0,11,285,0.196,0.391,0.296,0.307,0.304,12.5,5.4,19.6,436,23.2,56,10.134,3.6,69,37.5,101,7,3,11,25.000000000000004,0.557,16622,-1.5456,-0.5925,-0.4027,98.413,"Urías, Luis",5,Luis Urias,OBS
avail,avail,David Dahl,2024,L,PHI,30,0.131,19,62,621311,2024,58,12,2,0,3,21,3,33.9,4.8,0.207,0.397,0.242,0.639,0.257,8,0,0,91,28,0,0,0,0,1,6,172,0.206,0.398,0.272,0.27,0.241,7.9,13.2,18.4,266,33.3,38,5.879,3.4,37,39.5,89,3,5,7,29.099999999999998,0.534,13744,1.2784,-2.0852,-0.0518,72.5913,"Dahl, David",79,David Dahl*,avail
NA,NA,Angel Martinez,2024,B,CLE,22,0.1305,38,160,682657,2024,142,35,7,0,3,31,15,19.4,9.4,0.246,0.359,0.314,0.673,0.291,10,1,3,204,115,2,0,0,1,2,14,422,0.229,0.313,0.297,0.278,0.303,1.8,5.3,24.6,646,19.7,114,17.043,4.1,88,31.7,127,2,6,28,9.999999999999998,0.541,26540,-3.5802,-0.4696,0.65,93.9133,"Martínez, Angel",87954,Angel Martinez#,NA
NA,NA,Darren Baker,2024,L,WSN,25,0.1295,7,13,671117,2024,13,6,2,0,0,3,0,23.1,0,0.462,0.615,0.462,1.077,0.6,0,0,0,5,11,0,0,0,0,0,1,30,0.2,0.237,0.464,0.192,0.2,0,0,10,35,26.3,10,3.692,14.2,9,10,9,0,0,1,23.1,0.8,29912,-0.7353,1.5559,-0.0378,202.4536,"Baker, Darren",4,Darren Baker*,NA
NA,NA,Jace Jung,2024,L,DET,23,0.1266,29,87,690291,2024,74,18,4,0,0,27,13,31,14.9,0.243,0.297,0.356,0.653,0.383,3,1,0,120,59,3,0,0,0,0,13,219,0.22,0.295,0.302,0.292,0.336,4.3,2.1,38.3,349,31.7,47,7.877,3.5,47,44.7,111,2,1,18,16.1,0.507,31437,-0.9809,-0.6813,-0.4096,97.2835,"Jung, Jace",5,Jace Jung*,NA
GH,SR,Dominic Smith,2024,L,- - -,29,0.1233,93,307,642086,2024,275,64,22,0,6,76,28,24.8,9.1,0.233,0.378,0.313,0.691,0.301,34,1,1,418,211,7,4,0,0,0,33,760,0.219,0.379,0.305,0.299,0.301,10.6,7,22.6,1211,25.3,199,32.345,4,190,40.2,306,21,14,45,15.700000000000001,0.495,15653,-4.3371,-4.6757,-1.86,92.2111,"Smith, Dominic",3,Dominic Smith*,FMB
NA,NA,Michael Helman,2024,R,MIN,28,0.1182,7,8,680737,2024,8,3,2,0,0,3,0,37.5,0,0.375,0.625,0.375,1,0.6,0,0,0,5,5,0,0,0,0,0,2,16,0.131,0.168,0.424,0.128,0.131,0,0,40,21,27.3,5,1.875,10.1,7,40,6,0,0,2,37.5,0.571,24605,0.0254,0.8552,0.1025,181.8472,"Helman, Michael",8,Michael Helman,NA
avail,avail,Ehire Adrianza,2024,B,LAA,34,0.1162,8,28,501303,2024,26,5,1,0,1,11,2,39.3,7.1,0.192,0.346,0.25,0.596,0.286,2,0,0,36,28,1,0,0,0,0,4,76,0.17,0.284,0.262,0.229,0.229,6.7,20,20,118,35.4,15,2.04,2.5,15,46.7,42,1,3,3,32.199999999999996,0.525,8418,1.34,-1.1426,-0.0412,65.7812,"Adrianza, Ehire",54,Ehire Adrianza#,avail
NA,NA,Nick Sogard,2024,B,BOS,26,0.1153,24,64,686765,2024,58,15,1,0,0,22,5,34.4,7.8,0.259,0.276,0.313,0.589,0.405,7,0,3,94,50,3,0,0,0,1,11,179,0.286,0.344,0.266,0.307,0.342,0,2.7,45.9,276,27.9,37,5.148,3,39,48.6,77,0,1,17,26.599999999999998,0.518,25483,1.3085,-2.3168,0.266,64.8939,"Sogard, Nick",465,Nick Sogard#,NA
BRA,SLB,Jo Adell,2024,R,LAA,25,0.1115,130,451,666176,2024,405,84,15,2,20,126,35,27.9,7.8,0.207,0.402,0.28,0.682,0.244,62,10,15,628,243,9,7,1,0,3,54,1158,0.231,0.431,0.296,0.317,0.303,11.7,7.4,17.4,1840,29.8,282,43.518,3.4,297,36.5,548,33,21,49,20.099999999999998,0.517,20220,-5.54,-8.3635,-3.0851,89.8189,"Adell, Jo",98,Jo Adell,JFS
avail,avail,Luis Guillorme,2024,L,- - -,29,0.1091,77,187,641645,2024,161,33,9,1,0,36,23,19.3,12.3,0.205,0.273,0.301,0.574,0.26,10,2,4,288,157,7,0,0,1,2,14,496,0.222,0.294,0.263,0.28,0.317,2.3,3.1,25.8,802,18.6,128,13.477,2.6,87,31.2,149,3,4,33,7,0.519,16451,2.0744,-7.2489,0.0774,66.5608,"Guillorme, Luis",456,Luis Guillorme*,avail
NA,NA,Hunter Feduccia,2024,L,LAD,27,0.1045,4,14,676439,2024,12,4,0,0,0,2,2,14.3,14.3,0.333,0.333,0.429,0.762,0.4,0,0,0,19,6,0,0,0,0,0,2,26,0.226,0.276,0.35,0.287,0.337,0,0,30,57,19.2,10,1.937,6.5,8,30,11,0,0,3,0,0.351,23372,0.1465,0.3978,-0.057,127.143,"Feduccia, Hunter",2,Hunter Feduccia*,NA
BRA,SIP,Jason Delay,2024,R,PIT,29,0.1022,7,19,641511,2024,15,3,3,0,0,0,3,0,15.8,0.2,0.4,0.333,0.733,0.2,6,0,0,20,4,0,0,0,1,0,1,30,0.193,0.266,0.324,0.28,0.328,0,6.3,12.5,50,23.1,16,2.305,4.8,17,18.8,12,0,1,2,-15.8,0.48,19806,0.2881,0.0663,-0.0476,105.0092,"Delay, Jason",2,Jason Delay,GAP
avail,avail,Cal Stevenson,2024,L,PHI,27,0.1015,17,27,670276,2024,24,6,3,0,0,4,3,14.8,11.1,0.25,0.375,0.333,0.708,0.3,5,0,0,36,26,1,0,0,0,0,2,63,0.239,0.375,0.314,0.31,0.324,10,0,20,102,15.8,20,2.898,4.1,18,30,16,2,0,4,3.700000000000001,0.5,22411,0.6634,-0.5838,-0.601,100.5324,"Stevenson, Cal",89,Cal Stevenson*,avail
HIG,VM,Evan Carter,2024,L,TEX,21,0.0936,45,162,694497,2024,144,27,6,2,5,43,15,26.5,9.3,0.188,0.361,0.272,0.633,0.227,15,0,2,240,144,1,2,0,0,1,23,392,0.212,0.335,0.278,0.282,0.294,5.9,5.9,22.5,648,23.4,102,15.39,3.5,103,34.3,152,6,6,23,17.2,0.497,27790,-1.784,-2.6908,1.185,79.1875,"Carter, Evan",798,Evan Carter*,ANG
SV,CB,Ke'Bryan Hayes,2024,R,PIT,27,0.0902,96,396,663647,2024,365,85,9,0,4,75,23,18.9,5.8,0.233,0.29,0.283,0.573,0.279,25,2,11,493,290,12,4,1,0,4,38,948,0.245,0.329,0.256,0.278,0.297,2.4,6.5,24.5,1470,18.1,294,29.836,2.7,189,33.4,266,7,19,72,13.099999999999998,0.511,18577,6.5855,-18.9796,0.4084,59.0845,"Hayes, Ke'Bryan",5,Ke'Bryan Hayes,HAM
NA,NA,Nasim Nunez,2024,B,WSN,23,0.0871,43,56,683083,2024,42,11,1,0,0,11,9,19.6,16.1,0.262,0.286,0.392,0.678,0.355,1,2,6,86,42,0,0,0,4,0,13,130,0.178,0.228,0.319,0.268,0.326,0,5.6,13.9,232,18.5,36,6.395,4.7,43,19.5,43,0,2,5,3.5,0.5,25979,-0.791,-0.2402,-0.557,104.7286,"Nuñez, Nasim",6,Nasim Nunez#,NA
NA,NA,Greg Jones,2024,B,COL,26,0.0851,6,6,675659,2024,5,1,0,0,1,4,1,66.7,16.7,0.2,0.8,0.333,1.133,0,1,0,0,12,3,0,0,0,0,0,1,17,0.199,0.791,0.456,0.448,0.332,100,0,0,29,42.9,1,1.42,9.6,6,100,12,1,0,0,50,0.517,25448,0.0321,0.5921,-0.0079,183.5696,"Jones Jr., Greg",9,Greg Jones#,NA
CAM,WAU,Patrick Wisdom,2024,R,CHC,32,0.0835,69,161,621550,2024,145,27,7,2,8,53,10,32.9,6.2,0.186,0.428,0.256,0.684,0.224,22,0,5,211,98,0,4,0,1,1,15,405,0.192,0.45,0.293,0.303,0.262,17,8.5,11.7,648,31.1,94,17.643,4,111,37.2,202,16,8,11,26.7,0.517,13602,-3.2138,-1.3709,0.7082,89.2076,"Wisdom, Patrick",359,Patrick Wisdom,HAM
